,State FIPS Code,County FIPS Code,year,population,age04,age59,age1014,age1519,age2024,age2529,age3034,age3539,age4044,age4549,age5054,age5559,age6064,age6569,age7074,age7579,age8084,age85plus
7003,18,13,1993,14532,0.05952381,0.062620424,0.072942472,0.065648225,0.053537022,0.058285164,0.078309937,0.085948252,0.087806221,0.077759427,0.065785852,0.056289568,0.049821085,0.045485824,0.032342417,0.02374071,0.013969171,0.010184421
7004,18,13,1994,14382,0.058475873,0.062091503,0.07266027,0.066263385,0.050827423,0.056459463,0.075997775,0.085940759,0.088096231,0.079543874,0.067862606,0.057989153,0.049158671,0.046446948,0.033027395,0.023988319,0.014601585,0.010568767
7005,18,13,1995,14435,0.057360582,0.061655698,0.072254936,0.067267059,0.048285417,0.055836508,0.072809144,0.086040873,0.088811915,0.082507794,0.069622445,0.058884655,0.049186006,0.046692068,0.033044683,0.023830966,0.015171458,0.01073779
7006,18,13,1996,14528,0.056167401,0.061674009,0.071998899,0.067662445,0.045567181,0.056718062,0.069796256,0.086040749,0.089826542,0.085971916,0.070759912,0.06064152,0.049490639,0.046186674,0.031800661,0.023540749,0.015280837,0.010875551
7007,18,13,1997,14628,0.055646705,0.062414547,0.072327044,0.068430407,0.044161881,0.056261963,0.066037736,0.085110747,0.089417555,0.084768936,0.075950232,0.063029806,0.050177741,0.045255674,0.031104731,0.023448182,0.015313098,0.011143013
7008,18,13,1998,14873,0.054998991,0.06246218,0.072144154,0.068513414,0.043636119,0.054797284,0.063336247,0.08377597,0.08989444,0.08525516,0.078397095,0.066765279,0.051906139,0.044039535,0.030323405,0.02312916,0.015329792,0.011295636
7009,18,13,1999,14857,0.05391398,0.062058289,0.072760315,0.06730834,0.042875412,0.052433196,0.060981356,0.081712324,0.089318167,0.085750825,0.081779632,0.068654506,0.053442822,0.044827354,0.030759911,0.023625227,0.015884768,0.011913576
7010,18,15,1990,18823,0.069595707,0.071030123,0.075386495,0.072145779,0.056898475,0.069914466,0.082877331,0.07591776,0.070605111,0.059501673,0.052860862,0.044998141,0.050576422,0.046910694,0.039579238,0.028741433,0.017106731,0.015353557
7011,18,15,1991,19071,0.069057732,0.070525929,0.076556027,0.069529652,0.057679199,0.067956583,0.082271512,0.077342562,0.07424886,0.059252268,0.05322217,0.044517854,0.049866289,0.045828745,0.03964134,0.029206649,0.017723245,0.015573384
7012,18,15,1992,19288,0.068747408,0.069473248,0.077094567,0.068021568,0.057756118,0.065740357,0.081345915,0.078857321,0.073828287,0.063873911,0.054023227,0.044587308,0.048475736,0.044794691,0.040128577,0.029448362,0.01835338,0.015450021
7013,18,15,1993,19326,0.068405257,0.068560488,0.077201697,0.068094795,0.056555935,0.064265756,0.079737142,0.080099348,0.07476974,0.065352375,0.055728035,0.045741488,0.046879851,0.044344406,0.040204905,0.029649177,0.018731243,0.015678361
7014,18,15,1994,19550,0.068184143,0.069104859,0.077237852,0.06859335,0.05483376,0.063273657,0.078107417,0.080767263,0.076419437,0.067468031,0.056214834,0.046803069,0.045421995,0.043120205,0.040409207,0.029514066,0.019028133,0.015498721
7015,18,15,1995,19573,0.067746385,0.069279109,0.076687273,0.069432381,0.052368058,0.06350585,0.075869821,0.080672355,0.07776018,0.069738926,0.056659684,0.046952434,0.044448986,0.042660808,0.040923721,0.029888111,0.019874317,0.0155316
7016,18,15,1996,19599,0.066993214,0.069595388,0.076177356,0.070258687,0.049951528,0.06505434,0.072758814,0.081177611,0.079493852,0.072809837,0.056380428,0.048165723,0.043828767,0.041277616,0.040053064,0.030052554,0.020460228,0.015510995
7017,18,15,1997,19937,0.067412349,0.071274515,0.076440788,0.070923409,0.04885389,0.065305713,0.070020565,0.08040327,0.08065406,0.071976727,0.060490545,0.049907208,0.043637458,0.038972764,0.03832071,0.029994483,0.020263831,0.015147715
7018,18,15,1998,20065,0.067580364,0.072514328,0.076202342,0.07121854,0.049090456,0.06463992,0.067480688,0.0792923,0.081734363,0.072364814,0.06060304,0.052180414,0.044355844,0.03712933,0.037926738,0.029852978,0.020732619,0.015100922
7019,18,15,1999,20084,0.067715595,0.073391755,0.076578371,0.070653256,0.049143597,0.063433579,0.066022705,0.077922725,0.081806413,0.0731428,0.062039434,0.053326031,0.044662418,0.036197969,0.037293368,0.030223063,0.021410078,0.015036845
7020,18,17,1990,38458,0.067450205,0.069608404,0.07652504,0.07293671,0.057153258,0.071766603,0.081387488,0.076863071,0.070128452,0.056997244,0.051328722,0.046700296,0.048546466,0.04815643,0.041291799,0.029226689,0.018825732,0.01510739
7021,18,17,1991,38636,0.067242986,0.068511233,0.077259551,0.070193602,0.058624081,0.069365359,0.080676053,0.078191324,0.073584222,0.057122891,0.051765193,0.046122787,0.048012217,0.047339269,0.041256859,0.029790869,0.019411947,0.015529558
7022,18,17,1992,38964,0.067164562,0.067138897,0.077071143,0.069140745,0.059567806,0.067010574,0.079201314,0.079663279,0.07319577,0.061697978,0.052817986,0.045991171,0.046838107,0.046350477,0.041525511,0.030079047,0.019838826,0.015706806
7023,18,17,1993,39220,0.06718511,0.065833758,0.076950535,0.069938807,0.058975013,0.065247323,0.077256502,0.080647629,0.07409485,0.063233044,0.054691484,0.04645589,0.045283019,0.045894952,0.041356451,0.030443651,0.020321265,0.016190719
7024,18,17,1994,39261,0.06716589,0.06581595,0.076182471,0.070961005,0.058098367,0.064160363,0.075545707,0.080716232,0.075443825,0.065128244,0.055398487,0.04745167,0.044013143,0.044981024,0.04121138,0.030411859,0.020783984,0.016530399
7025,18,17,1995,39440,0.067013185,0.065745436,0.074974645,0.071906694,0.056338742,0.064097363,0.073275862,0.080375254,0.076850913,0.067266734,0.055755578,0.047489858,0.043382353,0.044548682,0.041506085,0.030907708,0.021703854,0.016861055
7026,18,17,1996,39933,0.066736784,0.065810232,0.074249368,0.073973906,0.05484186,0.066085694,0.070042321,0.08071019,0.078080785,0.070192573,0.055342699,0.047805073,0.042696517,0.043197356,0.040117196,0.03115218,0.022036912,0.016928355
7027,18,17,1997,40153,0.066769606,0.066669987,0.073593505,0.075336837,0.054815331,0.066271511,0.067292606,0.0793465,0.078649167,0.068986128,0.058775185,0.048638956,0.042238438,0.042014295,0.03915025,0.031828257,0.022314646,0.017308794
7028,18,17,1998,40436,0.067662479,0.06714314,0.072509645,0.075774063,0.056632704,0.065807696,0.065016322,0.078073993,0.07901375,0.069195766,0.059451973,0.050178059,0.042486893,0.040186962,0.038530023,0.032100109,0.022826194,0.017410229
7029,18,17,1999,40729,0.068182376,0.067838641,0.072380859,0.075572688,0.058876967,0.065825333,0.063861131,0.076628447,0.079304672,0.069729186,0.060521987,0.050971053,0.042917823,0.03842471,0.037074321,0.031844632,0.02271109,0.017334086
7030,18,19,1990,87723,0.065228047,0.068887293,0.073549696,0.074530055,0.066550392,0.082566716,0.086864334,0.083022696,0.076559169,0.06042885,0.049382716,0.045221892,0.045826066,0.041311857,0.02985534,0.023209421,0.015195559,0.011809902
7031,18,19,1991,88661,0.06546283,0.068056981,0.073809228,0.070583458,0.068440464,0.079922401,0.086520567,0.084332457,0.079550197,0.060511386,0.050394198,0.044766019,0.045149502,0.040908629,0.030577142,0.023697003,0.015305489,0.012012046
7032,18,19,1992,89463,0.06580374,0.066653253,0.073248158,0.068642903,0.06911237,0.077260991,0.085521389,0.085510211,0.078445838,0.065032472,0.051831483,0.044789466,0.044074086,0.040620145,0.031588478,0.024088171,0.015514794,0.012262052
7033,18,19,1993,90222,0.06598169,0.065449669,0.072631952,0.067899182,0.068409035,0.075292057,0.084159074,0.086375829,0.078883199,0.066524794,0.054243976,0.04541021,0.042650351,0.040799362,0.032386779,0.024539469,0.015705704,0.012657667
7034,18,19,1994,90995,0.066223419,0.065498104,0.071575361,0.067860871,0.06703665,0.074004066,0.08274081,0.086345404,0.079531842,0.068959833,0.055585472,0.046288258,0.041397879,0.040419803,0.033001813,0.02482554,0.015825045,0.012879829
7035,18,19,1995,91802,0.06614235,0.065575913,0.0702708,0.068059519,0.065107514,0.074268534,0.080924163,0.086436025,0.080281475,0.071338315,0.056817934,0.046513148,0.040816104,0.039911984,0.03356136,0.024955883,0.016034509,0.012984467
7036,18,19,1996,92862,0.065925782,0.065591954,0.069059465,0.068176434,0.062695182,0.075940643,0.078180526,0.086386251,0.081098835,0.07443303,0.057160087,0.047317525,0.040177898,0.039370248,0.033565937,0.02545713,0.016196076,0.013266998
7037,18,19,1997,93802,0.06635253,0.066736317,0.068282126,0.068239483,0.061949639,0.076160423,0.075392849,0.085264707,0.081661372,0.073825718,0.061704441,0.048474446,0.040009808,0.037866996,0.033037675,0.025703077,0.015980469,0.013357924
7038,18,19,1998,94634,0.066730773,0.067164021,0.067449331,0.067829744,0.062577932,0.075025889,0.073123824,0.083785954,0.081873322,0.074328465,0.063328191,0.050478686,0.040471712,0.036720418,0.033412938,0.026058288,0.016093582,0.013546928
7039,18,19,1999,95651,0.067171279,0.067411736,0.06728628,0.066732183,0.063533052,0.073276808,0.072022248,0.082466467,0.081494182,0.075503654,0.066063084,0.051666998,0.041191415,0.035535436,0.032953132,0.026199412,0.015901559,0.013591076
7040,18,21,1990,24734,0.067882267,0.074068084,0.07305733,0.070025067,0.05931107,0.071440123,0.080132611,0.071318832,0.066386351,0.053650845,0.049001375,0.046979866,0.049001375,0.049607827,0.041279211,0.032991025,0.023206922,0.02065982
7041,18,21,1991,24727,0.067901484,0.073441986,0.074169936,0.067941926,0.061269058,0.069155175,0.080236179,0.073320662,0.069964007,0.054393982,0.049500546,0.045941683,0.048327739,0.047559348,0.040562947,0.032636389,0.0229304,0.020746552
7042,18,21,1992,25036,0.067662566,0.071896469,0.074732385,0.067862278,0.062310273,0.066544176,0.078846461,0.0746525,0.069739575,0.058595622,0.050247643,0.045414603,0.046892475,0.046772647,0.04134047,0.032832721,0.022926985,0.020730149
7043,18,21,1993,25554,0.067778039,0.070713,0.075135008,0.068873758,0.062299444,0.064647413,0.077952571,0.076622055,0.071456523,0.060421069,0.05224231,0.045941927,0.045354935,0.045198403,0.0404242,0.032206308,0.022305706,0.02042733
7044,18,21,1994,25604,0.067489455,0.070613967,0.074949227,0.070301515,0.061045149,0.063388533,0.076159975,0.077253554,0.073152632,0.062607405,0.05268708,0.046164662,0.043782222,0.044524293,0.040852992,0.032299641,0.022262147,0.020465552
7045,18,21,1995,26051,0.06721431,0.070822617,0.074699628,0.072319681,0.058961268,0.063375686,0.074238993,0.077885686,0.075121876,0.065794019,0.053433649,0.046025105,0.043338068,0.042992591,0.040113623,0.031591877,0.021956931,0.020114391
7046,18,21,1996,26230,0.066679375,0.070682425,0.074304232,0.073884865,0.056919558,0.064468166,0.071597408,0.078307282,0.076820435,0.069386199,0.053145254,0.046397255,0.042622951,0.041784217,0.039420511,0.031719405,0.021807091,0.020053374
7047,18,21,1997,26216,0.066486115,0.071711932,0.074191334,0.075335673,0.055996338,0.064083003,0.068622215,0.077624352,0.078234666,0.068469637,0.056568508,0.047032347,0.042302411,0.040585902,0.038793103,0.032308514,0.021551724,0.020102228
7048,18,21,1998,26400,0.066174242,0.071893939,0.07405303,0.07625,0.056477273,0.062348485,0.065984848,0.076742424,0.079166667,0.069166667,0.057045455,0.048257576,0.042689394,0.039772727,0.039128788,0.032727273,0.021818182,0.02030303
7049,18,21,1999,26496,0.066009964,0.072048611,0.074615036,0.076539855,0.057253925,0.060160024,0.064651268,0.075747283,0.079974336,0.070501208,0.058461655,0.048913043,0.043176329,0.038685085,0.038496377,0.032872886,0.021588164,0.020304952
7050,18,23,1990,31060,0.073663876,0.075209272,0.077720541,0.06954282,0.059884095,0.074951706,0.080231809,0.075917579,0.066934965,0.053573728,0.048036059,0.045235029,0.044462331,0.044301352,0.03886027,0.029555699,0.021152608,0.020766259
7051,18,23,1991,31514,0.073015168,0.074633496,0.079012502,0.067335153,0.061115695,0.072285334,0.07996446,0.077552834,0.070381418,0.053976011,0.048232532,0.044139113,0.044075649,0.044107381,0.038871613,0.030081868,0.021038269,0.020181507
7052,18,23,1992,31901,0.072568258,0.073445973,0.079307859,0.067019843,0.061816244,0.069590295,0.079276512,0.079057083,0.070185888,0.058556158,0.048901288,0.043478261,0.043258832,0.043321526,0.038838908,0.029967713,0.021159211,0.020250149
