State FIPS Code,County FIPS Code,County,Year,Labor Force Size,Employed,Unemployed,Unemployment Rate
5,23,Cleburne,2000,10736,10258,478,4.5
5,25,Cleveland,2000,3903,3712,191,4.9
5,27,Columbia,2000,11279,10708,571,5.1
5,29,Conway,2000,9349,8786,563,6.0
5,31,Craighead,2000,42796,41119,1677,3.9
5,33,Crawford,2000,24785,23910,875,3.5
5,35,Crittenden,2000,21967,21071,896,4.1
5,37,Cross,2000,8685,8283,402,4.6
5,39,Dallas,2000,3864,3653,211,5.5
5,41,Desha,2000,6318,5810,508,8.0
5,43,Drew,2000,8745,8233,512,5.9
5,45,Faulkner,2000,45490,43862,1628,3.6
5,47,Franklin,2000,8076,7807,269,3.3
5,49,Fulton,2000,4971,4780,191,3.8
5,51,Garland,2000,38473,36850,1623,4.2
5,53,Grant,2000,8098,7781,317,3.9
5,55,Greene,2000,18144,17284,860,4.7
5,57,Hempstead,2000,11081,10580,501,4.5
5,59,Hot Spring,2000,14296,13699,597,4.2
5,61,Howard,2000,6636,6357,279,4.2
5,63,Independence,2000,16720,15922,798,4.8
5,65,Izard,2000,5225,4984,241,4.6
5,67,Jackson,2000,7703,7130,573,7.4
5,69,Jefferson,2000,35952,33898,2054,5.7
5,71,Johnson,2000,10203,9781,422,4.1
5,73,Lafayette,2000,3455,3253,202,5.8
5,75,Lawrence,2000,7870,7457,413,5.2
5,77,Lee,2000,3897,3610,287,7.4
5,79,Lincoln,2000,5040,4735,305,6.1
5,81,Little River,2000,6395,6105,290,4.5
5,83,Logan,2000,9872,9472,400,4.1
5,85,Lonoke,2000,26444,25578,866,3.3
5,87,Madison,2000,6925,6712,213,3.1
5,89,Marion,2000,6657,6405,252,3.8
5,91,Miller,2000,18216,17413,803,4.4
5,93,Mississippi,2000,22678,20943,1735,7.7
5,95,Monroe,2000,4076,3871,205,5.0
5,97,Montgomery,2000,4079,3914,165,4.0
5,99,Nevada,2000,4610,4394,216,4.7
5,101,Newton,2000,3761,3601,160,4.3
5,103,Ouachita,2000,12402,11682,720,5.8
5,105,Perry,2000,4811,4576,235,4.9
5,107,Phillips,2000,9706,9115,591,6.1
5,109,Pike,2000,5439,5216,223,4.1
5,111,Poinsett,2000,11451,10914,537,4.7
5,113,Polk,2000,8992,8629,363,4.0
5,115,Pope,2000,26805,25683,1122,4.2
